LotArea,1stFlrSF,2ndFlrSF
8450,856,854
9600,1262,0
11250,920,866
9550,961,756
14260,1145,1053
14115,796,566
10084,1694,0
10382,1107,983
6120,1022,752
7420,1077,0
11200,1040,0
11924,1182,1142
12968,912,0
10652,1494,0
10920,1253,0
6120,854,0
11241,1004,0
10791,1296,0
13695,1114,0
7560,1339,0
14215,1158,1218
7449,1108,0
9742,1795,0
4224,1060,0
8246,1060,0
14230,1600,0
7200,900,0
11478,1704,0
16321,1600,0
6324,520,0
8500,649,668
8544,1228,0
11049,1234,0
10552,1700,0
7313,1561,0
13418,1132,1320
10859,1097,0
8532,1297,0
7922,1057,0
6040,1152,0
8658,1324,0
16905,1328,0
9180,884,0
9200,938,0
7945,1150,0
7658,1752,0
12822,1518,631
11096,1656,0
4456,736,716
7742,955,0
13869,794,676
6240,816,0
8472,816,0
50271,1842,0
7134,1360,0
10175,1425,0
2645,983,756
11645,860,860
13682,1426,1519
7200,780,0
13072,1158,0
7200,581,530
6442,1370,0
10300,902,808
9375,1057,977
9591,1143,1330
19900,2207,0
10665,1479,0
4608,747,0
15593,1304,983
13651,2223,0
7599,845,0
10141,885,833
10200,1086,0
5790,840,765
1596,526,462
8475,952,0
8635,1072,213
10778,1768,0
10440,682,548
13000,1182,960
4500,1337,0
10206,1563,0
8892,1065,0
8530,804,670
16059,1301,1116
11911,684,876
3951,612,612
8470,1013,0
8070,990,0
7200,1040,0
8500,1235,0
13360,964,0
7200,1260,1031
9337,905,881
9765,680,790
10264,1588,0
10921,960,0
10625,835,0
9320,1225,0
10603,1610,0
9206,977,755
7018,1535,0
10402,1226,0
7758,1226,592
9375,1053,939
10800,1047,0
6000,789,0
8500,997,520
11751,1844,0
9525,1216,639
7750,774,656
9965,1282,1414
21000,2259,0
7259,1436,884
3230,729,729
11616,1092,0
8536,1125,0
12376,1699,1523
8461,728,728
21453,988,0
6060,772,351
9464,1080,0
7892,1199,0
17043,1586,0
6780,520,0
4928,958,0
4388,840,0
7590,660,688
8973,1053,0
14200,1216,941
12224,1022,1032
7388,1327,0
6853,1296,0
10335,1721,0
10400,1682,0
10355,1214,0
11070,1959,0
9066,1004,848
15426,928,836
10500,864,0
11645,1734,0
8520,910,475
10335,1501,0
9100,1728,0
2522,970,739
6120,875,0
9505,884,1151
7500,1080,0
6240,896,448
10356,969,0
13891,1710,0
14803,1097,896
13500,1252,0
11340,1200,0
9600,572,524
7200,1040,0
12003,774,1194
12552,991,956
19378,1392,1070
11120,1232,0
13688,1572,1096
12182,1541,0
5500,882,0
5400,1149,467
10106,808,547
10708,1867,0
10562,1610,551
8244,840,880
16669,1707,0
12358,854,0
31770,1656,0
5306,1064,703
10197,1362,0
12416,1651,0
12615,2158,0
10029,1164,896
13650,1252,668
17423,2234,0
8520,968,0
2117,769,756
7588,901,901
9060,1340,0
11426,1362,720
7438,936,316
22950,1518,1518
9947,1217,0
10410,808,704
7018,1224,0
4923,1593,0
10570,1549,1178
7472,725,754
9017,1431,0
2522,970,739
7180,864,0
2280,855,601
9416,1726,0
25419,1360,1360
5520,929,929
9591,1713,0
8546,1121,0
10125,1279,0
7000,865,445
4438,848,0
3500,720,564
11851,1442,0
13673,1696,0
12493,1100,0
14364,1180,882
8250,1092,0
5604,864,0
10420,1212,0
8640,932,920
13568,990,0
10900,689,703
10011,1236,0
8450,1436,0
9906,810,518
15660,1137,817
3010,1248,0
8990,1498,0
8068,1010,1257
11475,811,741
10500,864,0
13472,2392,0
1680,630,672
9950,1214,1306
1869,483,504
8521,912,0
3182,1555,0
8760,1194,0
15138,1490,1304
1680,483,504
10650,894,0
7851,860,1100
1680,483,504
8773,1414,0
9453,1014,730
12030,1694,0
8741,798,689
9000,1566,0
3880,866,0
5000,889,551
10762,626,591
8880,1222,888
10400,1872,0
9142,908,1020
11310,1375,0
